User ID: Thomas Burns
- 
[2023-01-06 17:25:43] Thomas Burns [fraudulent]: Thomas changed the shipping address for an online purchase from "123 Main St, Anytown, USA" to "567 Elm St, Anothertown, USA". The package contained a high-value electronic item.
[2023-01-15 14:12:39] Thomas Burns [fraudulent]: Thomas changed the shipping address for another online purchase from "987 Oak St, Sometown, USA" to "654 Pine St, Unknownville, USA". The package contained a luxury watch.
[2023-01-20 10:45:21] Thomas Burns [fraudulent]: Thomas changed the shipping address for yet another online purchase from "321 Maple Ave, Nothingsville, USA" to "789 Birch Ct, Somewhereelse, USA". The package contained a designer handbag.
[2023-01-25 12:18:46] Thomas Burns [fraudulent]: Thomas changed the shipping address for an online purchase from "456 Walnut Blvd, Emptytown, USA" to "910 Linden Lane, Nowherecity, USA". The package contained a high-end laptop.
[2023-01-30 08:30:07] Thomas Burns [fraudulent]: Thomas changed the shipping address for another online purchase from "135 Cedar Ln, Hometown, USA" to "942 Spruce St, Anywhere, USA". The package contained a diamond ring.
[2023-02-04 16:32:18] Thomas Burns [fraudulent]: Thomas changed the shipping address for an online purchase from "246 Ash St, Silentville, USA" to "937 Fir St, Anystreet, USA". The package contained a luxury smartphone.
[2023-02-08 11:15:34] Thomas Burns [fraudulent]: Thomas changed the shipping address for another online purchase from "169 Beech Dr, Nocity, USA" to "777 Willow Way, Somecity, USA". The package contained a high-end tablet.
[2023-02-13 14:58:59] Thomas Burns [fraudulent]: Thomas changed the shipping address for an online purchase from "345 Elm St, Emptytown, USA" to "753 Birch Blvd, Anywhere, USA". The package contained a designer wallet.
[2023-02-18 09:30:22] Thomas Burns [fraudulent]: Thomas changed the shipping address for another online purchase from "456 Pine Ave, Vacantcity, USA" to "777 Willow St, Somecity, USA". The package contained a designer purse.
[2023-02-23 13:45:00] Thomas Burns [fraudulent]: Thomas changed the shipping address for an online purchase from "567 Spruce Ln, Uninhabitedtown, USA" to "937 Fir St, Anystreet, USA". The package contained a high-end camera.
[2023-02-28 11:05:33] Thomas Burns [fraudulent]: Thomas changed the shipping address for another online purchase from "678 Cedar Ct, Unnamedcity, USA" to "937 Fir St, Anystreet, USA". The package contained a luxury smartwatch.
[2023-03-02 14:50:00] Thomas Burns [fraudulent]: Thomas changed the shipping address for an online purchase from "890 Oak Dr, Uninhabitedtown, USA" to "777 Willow Way, Somecity, USA". The package contained a high-end laptop.
[2023-03-06 10:25:45] Thomas Burns [fraudulent]: Thomas changed the shipping address for another online purchase from "123 Maple St, Nocity, USA" to "753 Birch Blvd, Anywhere, USA". The package contained a designer jewelry set.
[2023-03-10 16:45:00] Thomas Burns [fraudulent]: Thomas changed the shipping address for an online purchase from "345 Elm St, Emptytown, USA" to "777 Willow St, Somecity, USA". The package contained a luxury wristwatch.
